Start_Yr,SY00,SY01,SY02,SY03,SY04,SY05,SY06,SY07,SY08,SY09,SY10,SY11,SY12,SY13,SY14,SY15
SY2000,622,605,583,536,511,499,493,466,460,457,437,416,397,385,374,362
SY2001,.,271,249,235,229,223,218,201,200,200,196,190,187,184,176,170
SY2002,.,.,174,165,161,152,150,142,142,142,138,132,125,121,120,117
SY2003,.,.,.,251,248,199,193,180,177,176,163,159,152,147,140,134
SY2004,.,.,.,.,310,298,270,261,254,254,248,229,225,220,210,200
SY2005,.,.,.,.,.,295,226,217,212,210,203,197,194,189,186,185
SY2006,.,.,.,.,.,.,289,211,191,191,182,170,168,167,154,143
SY2007,.,.,.,.,.,.,.,157,153,152,146,139,126,122,114,109
SY2008,.,.,.,.,.,.,.,.,151,149,121,115,113,105,96,91
SY2009,.,.,.,.,.,.,.,.,.,173,158,155,151,141,136,126
SY2010,.,.,.,.,.,.,.,.,.,.,188,178,171,166,161,149
SY2011,.,.,.,.,.,.,.,.,.,.,.,238,227,210,202,194
SY2012,.,.,.,.,.,.,.,.,.,.,.,.,229,221,206,198
SY2013,.,.,.,.,.,.,.,.,.,.,.,.,.,225,217,199
SY2014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,266,258
SY2015,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,210
