LEAID,SHYEAR,AGCHRT,LAT,LON
619800,1998-99,1,36.525119,-119.553336
630510,1998-99,1,36.3462,-119.7089
900007,1998-99,1,41.791476,-72.697578
900008,1998-99,1,NA,NA
900009,1998-99,1,41.7817,-72.5507
900010,1998-99,1,41.5093,-72.0773
900011,1998-99,1,41.354936,-72.102295
900012,1998-99,1,NA,NA
900013,1998-99,1,NA,NA
900014,1998-99,1,41.337913,-72.959533
900015,1998-99,1,41.18375,-73.183031
900016,1998-99,1,41.095574,-73.42
900017,1998-99,1,NA,NA
900018,1998-99,1,41.921308,-73.069739
900019,1998-99,1,NA,NA
900020,1998-99,1,NA,NA
900021,1998-99,1,NA,NA
900022,1998-99,1,NA,NA
1000004,1998-99,1,39.753594,-75.587197
1000005,1998-99,1,39.10835,-75.538757
1000006,1998-99,1,39.748635,-75.529468
1000007,1998-99,1,39.164566,-75.536131
1300900,1998-99,1,34.1723,-84.7922
2200024,1998-99,1,NA,NA
2200025,1998-99,1,32.512889,-92.085808
2300049,1998-99,1,46.906749,-67.828921
2500021,1998-99,1,42.24417,-71.13209
2500022,1998-99,1,42.39212,-71.1317
2500023,1998-99,1,NA,NA
2500024,1998-99,1,41.71209,-70.024051
2500025,1998-99,1,42.658771,-71.408137
2500026,1998-99,1,42.32387,-71.087021
2500027,1998-99,1,42.709531,-71.167776
2500028,1998-99,1,42.125526,-72.484384
2500029,1998-99,1,42.292318,-71.064236
2500030,1998-99,1,42.089034,-71.40066
2500031,1998-99,1,42.28682,-72.659911
2500032,1998-99,1,42.708537,-71.173638
2500033,1998-99,1,42.645253,-71.311486
2500034,1998-99,1,42.50826,-70.85335
2500035,1998-99,1,41.419303,-70.664466
2500036,1998-99,1,42.272986,-71.809659
2500037,1998-99,1,NA,NA
2500038,1998-99,1,42.548649,-71.606549
2500039,1998-99,1,42.25043,-71.126941
2500040,1998-99,1,42.155312,-70.879341
2500041,1998-99,1,41.675287,-71.182871
2500044,1998-99,1,42.24129,-72.59941
2500045,1998-99,1,42.26541,-71.78952
2500046,1998-99,1,42.36747,-71.100431
2500047,1998-99,1,NA,NA
2500049,1998-99,1,42.326972,-71.081831
2500050,1998-99,1,NA,NA
2500051,1998-99,1,42.305635,-71.801599
2500052,1998-99,1,42.057287,-71.244753
2500053,1998-99,1,42.321757,-71.060738
2500054,1998-99,1,42.341584,-71.091687
2500055,1998-99,1,42.43423,-71.04322
2500056,1998-99,1,NA,NA
2500057,1998-99,1,41.94917,-70.71289
2500058,1998-99,1,41.65205,-70.28523
3700015,1998-99,1,NA,NA
3700016,1998-99,1,36.132673,-81.81512
3700017,1998-99,1,35.57358,-82.594193
3700018,1998-99,1,NA,NA
3700019,1998-99,1,NA,NA
3700020,1998-99,1,35.742493,-79.479562
3700021,1998-99,1,35.094097,-84.035017
3700022,1998-99,1,35.98138,-78.955171
3700023,1998-99,1,35.9968,-78.9136
3700024,1998-99,1,NA,NA
3700025,1998-99,1,36.1512,-80.211
3700026,1998-99,1,NA,NA
3700027,1998-99,1,36.06738,-80.23116
3700028,1998-99,1,NA,NA
3700029,1998-99,1,35.099078,-83.104907
3700031,1998-99,1,35.26611,-77.56784
3700032,1998-99,1,35.2103,-80.833441
3700033,1998-99,1,35.09401,-79.429111
3700034,1998-99,1,36.015609,-77.779184
3700035,1998-99,1,36.063264,-79.081218
3700036,1998-99,1,NA,NA
3700037,1998-99,1,NA,NA
3700038,1998-99,1,35.012253,-76.821202
3700039,1998-99,1,NA,NA
3700040,1998-99,1,34.685041,-79.203357
3700041,1998-99,1,36.3152,-80.8848
3700043,1998-99,1,35.7802,-78.645391
3700044,1998-99,1,NA,NA
3700045,1998-99,1,35.91154,-78.661511
3700046,1998-99,1,35.833535,-78.837424
3700047,1998-99,1,NA,NA
3700048,1998-99,1,NA,NA
3700049,1998-99,1,35.730898,-77.893576
3700050,1998-99,1,36.0436,-79.3956
3700051,1998-99,1,34.723286,-76.717433
3700052,1998-99,1,34.735259,-76.634586
3700053,1998-99,1,35.8155,-79.114
3700054,1998-99,1,36.04758,-78.900301
3700055,1998-99,1,35.89831,-78.890451
3700056,1998-99,1,NA,NA
3700057,1998-99,1,NA,NA
3700058,1998-99,1,NA,NA
3700059,1998-99,1,NA,NA
3700061,1998-99,1,NA,NA
3700062,1998-99,1,35.48588,-80.998131
3700063,1998-99,1,35.118634,-80.873461
3700064,1998-99,1,35.388475,-80.834755
3700065,1998-99,1,NA,NA
3700066,1998-99,1,NA,NA
3700067,1998-99,1,NA,NA
3700068,1998-99,1,35.24246,-82.751241
3700069,1998-99,1,35.9703,-78.5085
3700070,1998-99,1,35.831971,-78.30658
3700071,1998-99,1,NA,NA
3700072,1998-99,1,NA,NA
3700073,1998-99,1,NA,NA
3700074,1998-99,1,35.379086,-78.005368
3700075,1998-99,1,NA,NA
3700076,1998-99,1,NA,NA
3900016,1998-99,1,NA,NA
3900017,1998-99,1,41.09045,-80.6584
3900018,1998-99,1,NA,NA
3900019,1998-99,1,41.433951,-81.707366
3900020,1998-99,1,NA,NA
3900021,1998-99,1,NA,NA
3900022,1998-99,1,41.71779,-83.617381
3900023,1998-99,1,41.64041,-83.52719
3900024,1998-99,1,NA,NA
3900025,1998-99,1,41.44525,-81.528041
3900026,1998-99,1,NA,NA
3900027,1998-99,1,41.072717,-81.487965
3900028,1998-99,1,41.04357,-81.548751
3900029,1998-99,1,39.75522,-84.19049
4800004,1998-99,1,29.385105,-98.490675
4800014,1998-99,1,29.4912,-98.4284
4800015,1998-99,1,NA,NA
4800016,1998-99,1,32.741615,-96.82762
4800017,1998-99,1,29.7016,-95.4076
4800018,1998-99,1,29.71828,-95.47854
4800019,1998-99,1,29.7964,-95.8215
4800020,1998-99,1,29.71388,-95.31281
4800021,1998-99,1,29.6786,-95.525
4800022,1998-99,1,25.93547,-97.508421
