LEAID,AGCHRT,SHYEAR,LAT,LON
200001,2,2002-03,60.8026,-161.7704
200090,2,2002-03,55.4768,-133.1359
200100,2,2002-03,64.0435,-145.7132
200150,2,2002-03,55.3527,-131.6774
200180,2,2002-03,61.1951,-149.7759
200210,2,2002-03,58.3031,-134.4237
200390,2,2002-03,60.49,-151.0723
200510,2,2002-03,61.6114,-149.0949
200570,2,2002-03,64.4987,-165.4138
200600,2,2002-03,64.842,-147.7176
200862,2,2004-05,64.8354,-147.8261
400001,2,2012-13,33.785,-111.952
400072,2,2002-03,33.3941,-111.7697
400103,2,2002-03,33.6129,-112.0133
400106,2,2002-03,33.4905,-112.0739
400131,2,2002-03,33.5065,-111.9646
400157,2,2002-03,33.3881,-111.8143
400202,2,2002-03,32.2061,-110.7636
400212,2,2004-05,31.9655,-110.2985
400219,2,2002-03,33.6308,-112.1369
400227,2,2002-03,33.3741,-112.0714
400235,2,2002-03,33.4051,-111.5541
400246,2,2002-03,34.2844,-110.1226
400266,2,2002-03,34.8638,-111.7926
400310,2,2002-03,33.6485,-112.1621
400321,2,2002-03,33.3052,-111.9528
400324,2,2002-03,33.2161,-117.2699
400326,2,2002-03,33.6296,-112.3413
400327,2,2002-03,33.6544,-112.1881
400328,2,2002-03,34.7352,-112.0095
400621,2,2004-05,33.3933,-111.9718
401410,2,2013-14,33.3741,-112.5763
401460,2,2013-14,31.5547,-110.2617
401740,2,2003-04,32.9355,-111.7374
402320,2,2003-04,32.9813,-111.524
402370,2,2013-14,34.7405,-112.0263
402400,2,2012-13,32.6994,-114.6697
402690,2,2013-14,33.6278,-112.3827
403200,2,2009-10,33.036,-109.9647
403780,2,2003-04,33.2958,-111.7037
403870,2,2013-14,34.6293,-112.3185
404320,2,2013-14,33.381,-112.4861
404380,2,2013-14,33.4913,-112.3555
404720,2,2013-14,33.0554,-112.0534
405190,2,2013-14,34.923,-114.6045
405930,2,2013-14,33.6228,-112.0134
406070,2,2003-04,34.2316,-111.3415
406120,2,2003-04,35.5336,-113.425
407170,2,2013-14,33.4918,-112.8731
407530,2,2009-10,32.7576,-111.5552
408280,2,2013-14,32.25,-110.7552
408550,2,2013-14,32.7838,-111.6216
408800,2,2013-14,32.2225,-110.9558
408850,2,2003-04,32.0136,-110.6986
409060,2,2013-14,33.6036,-112.1588
409190,2,2013-14,33.9693,-112.7337
409733,2,2003-04,34.863,-111.7662
500006,2,2012-13,33.6183,-92.0685
500017,2,2009-10,36.0563,-90.5054
500043,2,2003-04,36.3327,-92.4033
502790,2,2013-14,34.5531,-92.5116
502880,2,2007-08,35.0684,-91.8969
503320,2,2002-03,35.9323,-89.9069
503750,2,2004-05,34.9748,-92.008
505680,2,2002-03,33.2133,-92.6647
506270,2,2010-11,35.016,-90.7885
506930,2,2003-04,35.9943,-94.1739
507740,2,2011-12,35.4043,-90.8077
508280,2,2013-14,35.8169,-90.7089
508940,2,2009-10,35.949,-94.4239
509000,2,2005-06,34.7493,-92.2792
510440,2,2003-04,35.8129,-90.65
510680,2,2003-04,34.7793,-92.2647
510950,2,2002-03,35.7065,-90.0125
511970,2,2013-14,36.3334,-94.1223
513110,2,2013-14,33.4572,-94.0322
513530,2,2005-06,35.084,-92.1986
600001,2,2012-13,34.4718,-118.1972
600011,2,2002-03,40.1419,-120.134
600012,2,2002-03,39.3741,-120.9948
600013,2,2002-03,38.7918,-121.2225
600014,2,2002-03,34.4247,-117.3224
600015,2,2006-07,34.4085,-116.9067
600016,2,2002-03,34.0982,-117.651
600017,2,2002-03,34.4799,-117.1902
600021,2,2002-03,37.5927,-121.8848
600022,2,2004-05,36.761,-120.387
600026,2,2004-05,34.869,-118.8836
600027,2,2009-10,33.6827,-117.3359
600028,2,2002-03,33.5041,-117.1131
600031,2,2009-10,35.9184,-121.468
600034,2,2002-03,38.5495,-122.8134
600036,2,2002-03,38.6467,-121.5032
600038,2,2002-03,40.3217,-124.2855
600042,2,2009-10,33.2752,-116.6429
600044,2,2011-12,38.6235,-122.866
600047,2,2002-03,37.7472,-121.4523
600048,2,2002-03,35.615,-120.6717
600061,2,2006-07,37.7362,-120.929
600062,2,2002-03,37.7653,-120.8473
600063,2,2002-03,37.6401,-120.7739
600064,2,2006-07,36.0769,-119.0306
600069,2,2002-03,33.236,-117.0239
600116,2,2011-12,37.2283,-119.5052
600158,2,2011-12,37.5001,-120.8271
600159,2,2007-08,41.607,-122.8419
600160,2,2006-07,37.3275,-119.6311
601332,2,2009-10,38.6594,-121.3882
601409,2,2010-11,37.3631,-118.3993
601414,2,2011-12,34.4219,-119.6957
601415,2,2011-12,36.6983,-119.7931
601420,2,2012-13,40.5964,-124.1576
601680,2,2004-05,38.9356,-121.0564
601710,2,2009-10,34.572,-117.4066
601770,2,2002-03,37.7821,-122.2701
601950,2,2002-03,36.6769,-121.6212
602010,2,2005-06,35.8861,-119.4849
602100,2,2013-14,32.8367,-116.7748
602310,2,2004-05,37.3694,-121.8341
602670,2,2002-03,38.4063,-122.8226
602700,2,2002-03,40.4419,-122.3061
602730,2,2002-03,39.0294,-123.3881
602820,2,2002-03,34.6969,-118.1367
602850,2,2002-03,38.0144,-121.8138
603000,2,2002-03,40.8574,-124.0669
603030,2,2004-05,40.9548,-124.1104
603090,2,2002-03,38.9132,-123.6936
603180,2,2003-04,36.3121,-119.707
603480,2,2010-11,38.9062,-121.0731
603690,2,2002-03,34.0821,-117.9608
603870,2,2012-13,37.755,-121.373
604080,2,2002-03,37.3314,-119.6392
604200,2,2009-10,37.7006,-122.4136
604230,2,2002-03,34.2429,-116.8811
604290,2,2012-13,33.945,-116.9772
604380,2,2012-13,38.4005,-122.71
604740,2,2010-11,37.8694,-122.2875
604890,2,2002-03,41.1579,-124.1308
605040,2,2004-05,39.4154,-121.7031
605240,2,2010-11,38.912,-120.8312
