State,Year,Salary,Source,Note
Alabama,11,49034,ACS,
Alabama,12,49292,ACS,
Alabama,13,49643,ACS,
Alabama,14,49742,ACS,
Alabama,15,50039,ACS,
Alabama,16,50456,ACS,
Alaska,11,61294,ACS,
Alaska,12,61933,ACS,
Alaska,13,62045,ACS,
Alaska,14,63287,ACS,
Alaska,15,63978,ACS,
Alaska,16,65748,ACS,
Arizona,11,48556,ACS,
Arizona,12,48548,ACS,
Arizona,13,48277,ACS,
Arizona,14,47615,ACS,
Arizona,15,47456,ACS,
Arizona,16,47218,ACS,
Arkansas,11,47245,ACS,
Arkansas,12,47369,ACS,
Arkansas,13,47043,ACS,
Arkansas,14,46696,ACS,
Arkansas,15,47048,ACS,
Arkansas,16,47600,ACS,
California,11,67957,ACS,
California,12,68145,ACS,
California,13,68584,ACS,
California,14,68615,ACS,
California,15,69172,ACS,
California,16,69876,ACS,
Colorado,11,51796,ACS,
Colorado,12,51881,ACS,
Colorado,13,52317,ACS,
Colorado,14,52540,ACS,
Colorado,15,52707,ACS,
Colorado,16,53084,ACS,
Connecticut,11,68142,ACS,
Connecticut,12,68275,ACS,
Connecticut,13,68835,ACS,
Connecticut,14,69382,ACS,
Connecticut,15,70302,ACS,
Connecticut,16,70995,ACS,
DC,11,72134,ACS,
DC,12,70413,ACS,
DC,13,72388,ACS,
DC,14,71793,ACS,
DC,15,71461,ACS,
DC,16,73991,ACS,
Delaware,11,60059,ACS,
Delaware,12,59704,ACS,
Delaware,13,60359,ACS,
Delaware,14,60992,ACS,
Delaware,15,61829,ACS,
Delaware,16,63064,ACS,
Florida,11,50811,ACS,
Florida,12,50793,ACS,
Florida,13,50745,ACS,
Florida,14,50295,ACS,
Florida,15,50133,ACS,
Florida,16,50289,ACS,
Georgia,11,53656,ACS,
Georgia,12,53872,ACS,
Georgia,13,53743,ACS,
Georgia,14,53908,ACS,
Georgia,15,53917,ACS,
Georgia,16,54053,ACS,
Hawaii,11,57189,ACS,
Hawaii,12,56591,ACS,
Hawaii,13,56522,ACS,
Hawaii,14,56303,ACS,
Hawaii,15,55963,ACS,
Hawaii,16,56049,ACS,
Idaho,11,47771,ACS,
Idaho,12,48017,ACS,
Idaho,13,48160,ACS,
Idaho,14,48797,ACS,
Idaho,15,49059,ACS,
Idaho,16,49280,ACS,
Illinois,11,59415,ACS,
Illinois,12,59422,ACS,
Illinois,13,60126,ACS,
Illinois,14,61340,ACS,
Illinois,15,62674,ACS,
Illinois,16,63475,ACS,
Indiana,11,53462,ACS,
Indiana,12,53473,ACS,
Indiana,13,53249,ACS,
Indiana,14,52916,ACS,
Indiana,15,53043,ACS,
Indiana,16,53645,ACS,
Iowa,11,47888,ACS,
Iowa,12,48552,ACS,
Iowa,13,49336,ACS,
Iowa,14,50662,ACS,
Iowa,15,51644,ACS,
Iowa,16,53120,ACS,
Kansas,11,47351,ACS,
Kansas,12,47832,ACS,
Kansas,13,47970,ACS,
Kansas,14,48297,ACS,
Kansas,15,48582,ACS,
Kansas,16,49322,ACS,
Kentucky,11,50104,ACS,
Kentucky,12,50424,ACS,
Kentucky,13,50305,ACS,
Kentucky,14,50561,ACS,
Kentucky,15,51315,ACS,
Kentucky,16,51938,ACS,
Louisiana,11,48257,ACS,
Louisiana,12,48895,ACS,
Louisiana,13,49397,ACS,
Louisiana,14,49778,ACS,
Louisiana,15,50228,ACS,
Louisiana,16,50680,ACS,
Maine,11,47638,ACS,
Maine,12,47941,ACS,
Maine,13,47866,ACS,
Maine,14,48057,ACS,
Maine,15,48566,ACS,
Maine,16,50068,ACS,
Maryland,11,63806,ACS,
Maryland,12,64140,ACS,
Maryland,13,65126,ACS,
Maryland,14,65384,ACS,
Maryland,15,66728,ACS,
Maryland,16,67605,ACS,
Massachusetts,11,63579,ACS,
Massachusetts,12,63775,ACS,
Massachusetts,13,63833,ACS,
Massachusetts,14,64397,ACS,
Massachusetts,15,65461,ACS,
Massachusetts,16,66740,ACS,
